18506,"Clicca qui"," HG RAPHAEL GUNDAM",164565,01/06/11,"ﾀ 24,00"
26607,"Clicca qui"," HG GN ARMS + GUNDAM EXIA",153122,01/06/11,"ﾀ 66,00"
18283,"Clicca qui"," HG CHERUDIM GUNDAM",156656,01/06/11,"ﾀ 14,40"
26214,"Clicca qui"," HG SERAPHIM GUNDAM",157733,01/06/11,"ﾀ 12,00"
25890,"Clicca qui"," HG MASURAO",161407,01/06/11,"ﾀ 18,00"
25837,"Clicca qui"," HG ASTRAEA TYPE F",162363,01/06/11,"ﾀ 21,60"
15919,"Clicca qui"," HG 1.5GUNDAM",163277,01/06/11,"ﾀ 21,60"
25665,"Clicca qui"," HGﾠGUNDAM ASTRAEA",164249,01/06/11,"ﾀ 19,20"
25645,"Clicca qui"," HG OO RAISER GN CONDENSER TYPE",165300,01/06/11,"ﾀ 24,00"
17519,"Clicca qui"," 1/100 OO GUNDAM",156906,01/06/11,"ﾀ 33,60"
17135,"Clicca qui"," 1/100 SERAVEE GUNDAM",158433,01/06/11,"ﾀ 43,20"
15853,"Clicca qui"," HG 1/144 FOREVER GUNDAM",166792,01/06/11,"ﾀ 24,00"
25604,"Clicca qui"," 1/144 HGUC GUNCANNON",72918,01/06/11,"ﾀ 9,60"
25531,"Clicca qui"," 1/144 HGUC QUBELEY",73326,01/06/11,"ﾀ 18,00"
19714,"Clicca qui"," 1/144 HGUC GUNTANK",75486,01/06/11,"ﾀ 9,60"
17093,"Clicca qui"," 1/144 HGUC GOUF",75894,01/06/11,"ﾀ 9,60"
25386,"Clicca qui"," 1/144 HGUC MSM-07S Z'GOCK(CHAR'S CUSTOM)",100568,01/06/11,"ﾀ 8,40"
25298,"Clicca qui"," 1/144 HGUC RGM-79 GM",101787,01/06/11,"ﾀ 8,40"
25293,"Clicca qui"," 1/144 HGUC RX-78-2 GUNDAM",102407,01/06/11,"ﾀ 12,00"
19702,"Clicca qui"," 1/144 HGUC MS-06S ZAKU?",112814,01/06/11,"ﾀ 12,00"
24967,"Clicca qui"," 1/144 HGUC ZAKU? MASS PRODUCTION TYPE",122240,01/06/11,"ﾀ 12,00"
24896,"Clicca qui"," 1/144 HGUC ZETA GUNDAM",122241,01/06/11,"ﾀ 19,20"
24648,"Clicca qui"," 1/144 HGUC ACGUY",149604,01/06/11,"ﾀ 16,80"
23341,"Clicca qui"," 1/144 HGUC GUNPLA START SET??",169481,01/06/11,"ﾀ 16,80"
22713,"Clicca qui"," MG ZAKU II VER. 2.0",149252,01/06/11,"ﾀ 42,00"
21563,"Clicca qui"," MG G ARMOR REAL TYPE COLOR Ver.",158763,01/06/11,"ﾀ 117,60"
21090,"Clicca qui"," MG GUNTANK",160242,01/06/11,"ﾀ 57,60"
19458,"Clicca qui"," MG 1/100 MUSHA GUNDAM MK-II",163119,01/06/11,"ﾀ 72,00"
20165,"Clicca qui"," MG 1/100 RE-ZEL",165298,01/06/11,"ﾀ 57,60"
20006,"Clicca qui","ﾠ1/60ﾠPG STRIKE FREEDOM GUNDAM",165506,01/06/11,"ﾀ 300,00"
718,"Clicca qui"," RGﾠMS-06S ZAKU ?",165511,01/06/11,"ﾀ 30,00"
19161,"Clicca qui"," ACTION BASE  (GRAY)",148216,01/06/11,"ﾀ 6,60"
19141,"Clicca qui"," ACTION BASE  (WHITE)",148217,01/06/11,"ﾀ 6,60"
19079,"Clicca qui"," ACTION BASE 1 CLEAR",152159,01/06/11,"ﾀ 6,60"
18875,"Clicca qui"," ACTION BASE2 GRAY",150540,01/06/11,"ﾀ 5,40"
,,,,,
27443,"Clicca qui"," HG OO GUNDAM",155746,01/07/11,"ﾀ 12,00"
27433,"Clicca qui"," HG GUNDAM EXIA REPAIR ?",158761,01/07/11,"ﾀ 14,40"
27357,"Clicca qui"," HG O GUNDAM OPERATION MODE",158760,01/07/11,"ﾀ 14,40"
27352,"Clicca qui"," HG SUSANO",159439,01/07/11,"ﾀ 18,00"
27272,"Clicca qui"," HG ARIOS GUNDAM GNHW/M",159937,01/07/11,"ﾀ 21,60"
27195,"Clicca qui"," HG SERAVEE GUNDAM GNHW/B",159946,01/07/11,"ﾀ 21,60"
27181,"Clicca qui"," HG REBORNS GUNDAM",159947,01/07/11,"ﾀ 24,60"
27092,"Clicca qui"," HG OO RAISER+GN SWORD?",160996,01/07/11,"ﾀ 24,00"
19688,"Clicca qui"," HG OO GUNDAM SEVEN SWORD/G",161935,01/07/11,"ﾀ 19,20"
26951,"Clicca qui"," HGﾠOO QAN[T]",164561,01/07/11,"ﾀ 19,20"
26950,"Clicca qui"," HG GUNDAM ZABANYA",164562,01/07/11,"ﾀ 21,60"
26908,"Clicca qui"," HG BRAVE (COMMANDER TEST TYPE)",165507,01/07/11,"ﾀ 19,20"
26711,"Clicca qui"," HG EXIA",151246,01/07/11,"ﾀ 14,40"
16632,"Clicca qui"," HG GUNDAM KYRIOS",151921,01/07/11,"ﾀ 18,00"
26608,"Clicca qui"," HG GUNDAM THRONE ZWEI",153121,01/07/11,"ﾀ 19,20"
26520,"Clicca qui"," HG GUNDAM NADLEE",153262,01/07/11,"ﾀ 14,40"
16422,"Clicca qui"," HG GN ARCHER",157477,01/07/11,"ﾀ 14,40"
16316,"Clicca qui"," HG OO-RAISER DESIGNER'S COLOR Ver.",157734,01/07/11,"ﾀ 21,60"
25939,"Clicca qui"," HG O GUNDAM",160246,01/07/11,"ﾀ 14,40"
17939,"Clicca qui"," HG GUNDAM AVALANCHE EXIA DASH",163278,01/07/11,"ﾀ 24,00"
17617,"Clicca qui"," 1/100 GUNDAM EXIA",152227,01/07/11,"ﾀ 27,60"
17606,"Clicca qui"," 1/100 GUNDAM DYNAMES",152244,01/07/11,"ﾀ 27,60"
17592,"Clicca qui"," 1/100 GUNDAM KYRIOS",152368,01/07/11,"ﾀ 31,20"
17176,"Clicca qui"," 1/100 ARIOS GUNDAM",157735,01/07/11,"ﾀ 31,20"
16737,"Clicca qui"," HG 1/144 SUPER CUSTOM ZAKU F2000",165393,01/07/11,"ﾀ 26,40"
15641,"Clicca qui"," HG 1/144 BEGINNING 30 GUNDAM",167073,01/07/11,"ﾀ 26,40"
25516,"Clicca qui"," 1/144 HGUC HYAKU-SHIKI",74438,01/07/11,"ﾀ 18,00"
25131,"Clicca qui"," 1/144 HGUC RX-78GP03S GUNDAM",107016,01/07/11,"ﾀ 19,20"
24797,"Clicca qui"," 1/144 HGUC RGM-79 POWERED GM",145073,01/07/11,"ﾀ 14,40"
24634,"Clicca qui"," 1/144 HGUC NU GUNDAM",153143,01/07/11,"ﾀ 30,00"
24610,"Clicca qui"," 1/144 HGUC SAZABI",154499,01/07/11,"ﾀ 33,60"
24603,"Clicca qui"," 1/144 HGUC HI-NU GUNDAM",158762,01/07/11,"ﾀ 26,40"
24556,"Clicca qui"," 1/144 HGUC JEGAN",159935,01/07/11,"ﾀ 18,00"
24299,"Clicca qui"," 1/144 HGUC RX-0 UNICORN GUNDAM(DESTROY MODE)",161011,01/07/11,"ﾀ 21,60"
24288,"Clicca qui"," 1/144 HGUC RX-0 UNICORN GUNDAM(UNICORN MODE)",161012,01/07/11,"ﾀ 18,00"
24225,"Clicca qui","ﾠ1/144ﾠHGUC F2-ZAKU (ZEON TYPE)",162025,01/07/11,"ﾀ 18,00"
23945,"Clicca qui"," 1/144 HGUC F2-ZAKU (EARTH FEDERATION TYPE)",162048,01/07/11,"ﾀ 18,00"
23917,"Clicca qui"," 1/144 HGUC GM TYPE C",164563,01/07/11,"ﾀ 14,40"
23907,"Clicca qui"," 1/144 HGUC ?(DELTA) PLUS",164265,01/07/11,"ﾀ 26,40"
23848,"Clicca qui"," 1/144 HGUC SINANJU",165297,01/07/11,"ﾀ 31,20"
23714,"Clicca qui"," 1/144 HGUC NOBLE GUNDAM",165660,01/07/11,"ﾀ 18,00"
23415,"Clicca qui"," 1/144 HGUC GM CUSTOM",166784,01/07/11,"ﾀ 15,60"
23356,"Clicca qui"," 1/144 HGUC GUNPLA START SET",164268,01/07/11,"ﾀ 24,00"
16982,"Clicca qui"," 1/550 RX-78GP03 DENDROBIUM",103908,01/07/11,"ﾀ 18,00"
23337,"Clicca qui"," MG 1/100 AMX-004 QUBELLEY",104021,01/07/11,"ﾀ 48,00"
23321,"Clicca qui"," MG 1/100 RX-77-2 GUNCANNON",107017,01/07/11,"ﾀ 36,00"
23278,"Clicca qui"," MG 1/100 AILE STRIKE GUNDAM",122242,01/07/11,"ﾀ 45,60"
23184,"Clicca qui"," MG 1/100 MSM-07 Z'GOK(CHAR'S CUSTOM)",122718,01/07/11,"ﾀ 36,00"
23084,"Clicca qui"," MG 1/100 W GUNDAM ZERO CUSTOM",129454,01/07/11,"ﾀ 45,60"
23002,"Clicca qui"," MG 1/100 BALL ver.Ka",131412,01/07/11,"ﾀ 24,00"
22758,"Clicca qui"," MG 1/100 ZETA GUNDAM VER.2.0",139597,01/07/11,"ﾀ 60,00"
22730,"Clicca qui"," MG STRIKE FREEDOM GUNDAM",148083,01/07/11,"ﾀ 57,60"
19678,"Clicca qui"," MG HI NU GUNDAM",148832,01/07/11,"ﾀ 84,00"
22593,"Clicca qui"," MG MS-06S CHAR'S ZAKU ver. 2.0",149834,01/07/11,"ﾀ 42,00"
22480,"Clicca qui"," MG DESTINY GUNDAM",151243,01/07/11,"ﾀ 57,60"
22385,"Clicca qui"," MG MS06R ZAKU BLACK TRI-STARS Ver. 2.0",152373,01/07/11,"ﾀ 54,00"
22329,"Clicca qui"," MG SHIN MUSHA GUNDAM",153804,01/07/11,"ﾀ 60,00"
22064,"Clicca qui"," MG GUNDAM RX-78-2 ver.2.0",155520,01/07/11,"ﾀ 50,40"
21890,"Clicca qui"," MG MS-06R-2 J RIDDEN ZAKU Ver.2.0 ",156535,01/07/11,"ﾀ 54,00"
21737,"Clicca qui"," MG INFINITE JUSTICE GUNDAM",156649,01/07/11,"ﾀ 60,00"
21727,"Clicca qui"," MG SHIN MATSUNAGA ZAKU Ver. 2.0",156655,01/07/11,"ﾀ 54,00"
21680,"Clicca qui"," MG SINANJU",156877,01/07/11,"ﾀ 84,00"
21335,"Clicca qui"," MG GOUF Ver.2.0",158756,01/07/11,"ﾀ 45,60"
21143,"Clicca qui"," MG GUNDAM EXIA ",159452,01/07/11,"ﾀ 45,60"
20797,"Clicca qui"," MG 1/100 V GUNDAM Ver.Ka",161539,01/07/11,"ﾀ 45,60"
20702,"Clicca qui"," MG 1/100 GN-X",161417,01/07/11,"ﾀ 43,20"
20701,"Clicca qui"," MG 1/100 GUNDAM EXIA (TRANS-AM  MODE)",161570,01/07/11,"ﾀ 69,60"
20345,"Clicca qui"," MG 1/100 UNICORN GUNDAM SCREEN IMAGE ",162053,01/07/11,"ﾀ 60,00"
