Item Code, Item Name, HS Code, Origin Country, Qty Shipped, Price, Extended Price
SGC40453, Ponyo Leaves Home Music Box                                                                                                                                                                                                                                    , 4817.20, China, 2, 2059, 4118
SGC40454, Ponyo's House Music Box                                                                                                                                                                                                                                        , 4817.20, China, 2, 2059, 4118
SGC41609, Musical box: Flight Suit Porco                                                                                                                                                                                                                                 , 4817.20, China, 1, 5019, 5019
HBJMAG1108, Hobby Japan 2011/08                                                                                                                                                                                                                                            , 4901.99, Japan, 1, 655, 655
TKERP-33, Replicant Vol. 33                                                                                                                                                                                                                                              , 4901.99, Japan, 1, 1287, 1287
CSP40510, Zeon Faded Print T-Shirt Moss M                                                                                                                                                                                                                                , 6114.20, China, 1, 2205, 2205
OBT03134, 27cm Female Body Normal w/Magnet (W                                                                                                                                                                                                                            , 9503.00, Japan, 1, 1293, 1293
OBT03207, 27cm Female 02 Head Whitey 2pcs                                                                                                                                                                                                                                , 9503.00, Japan, 1, 456, 456
OBT03384, 27cm High Heel w/Magnet 1 Set (Red)                                                                                                                                                                                                                            , 9503.00, Japan, 1, 266, 266
OBT03414, 27cm Short Boots (Female) (Brown)                                                                                                                                                                                                                              , 9503.00, Japan, 1, 532, 532
OBT03431, 27cm Basket Shoes (Female) (White)                                                                                                                                                                                                                             , 9503.00, Japan, 1, 532, 532
OBT03474, 27cm Panty Stocking Plain (Skin)                                                                                                                                                                                                                               , 9503.00, Japan, 1, 190, 190
OBT04150, 27cm Female Hair Implant Head 02 Wh                                                                                                                                                                                                                            , 9503.00, Japan, 1, 760, 760
OBT04151, 27cm Female Hair Implant Head 02 Wh                                                                                                                                                                                                                            , 9503.00, Japan, 1, 760, 760
OBT04264, 27cm Female Hair Implant Head 02 Wh                                                                                                                                                                                                                            , 9503.00, Japan, 1, 760, 760
OBT04265, 27cm Female Hair Implant Head 02 Wh                                                                                                                                                                                                                            , 9503.00, Japan, 1, 760, 760
OBT04266, 27cm Female Hair Implant Head 02 Wh                                                                                                                                                                                                                            , 9503.00, Japan, 1, 760, 760
