	"GUNDAM OO SERIES"	
		
		
"GAOE"	"NAME"	"JAN CODE"
"27443"	" HG OO GUNDAM"	"0155746"
"16695"	" HG TRANS－AM RAISER GLOSS INJECTION Ver."	"0158493"
"16950"	" HG ARCHE GUNDAM"	"0158752"
"27433"	" HG GUNDAM EXIA REPAIR Ⅱ"	"0158761"
"27357"	" HG O GUNDAM OPERATION MODE"	"0158760"
"27352"	" HG SUSANO"	"0159439"
"15179"	" HG CHERUDIM GUNDAM GNHW/R "	"0159456"
"27272"	" HG ARIOS GUNDAM GNHW/M"	"0159937"
"27195"	" HG SERAVEE GUNDAM GNHW/B"	"0159946"
"27181"	" HG REBORNS GUNDAM"	"0159947"
"27092"	" HG OO RAISER+GN SWORDⅢ"	"0160996"
"19688"	" HG OO GUNDAM SEVEN SWORD/G"	"0161935"
"26951"	" HG OO QAN[T]"	"0164561"
"26950"	" HG GUNDAM ZABANYA"	"0164562"
"15328"	" HG GUNDAM HARUTE"	"0164576"
"18506"	" HG RAPHAEL GUNDAM"	"0164565"
"26908"	" HG BRAVE (COMMANDER TEST TYPE)"	"0165507"
"26711"	" HG EXIA"	"0151246"
"18457"	" HG UNION FLAG"	"0151247"
"14962"	" HG GUNDAM DYNAMES"	"0151920"
"16632"	" HG GUNDAM KYRIOS"	"0151921"
"26636"	" HG TIEREN (LAND)"	"0152157"
"16595"	" HG GUNDAM VIRTUE"	"0152242"
"18453"	" HG UNION FLAG (GRAHAM CUSTOM)"	"0152243"
"14806"	" HG TIEREN TAOZI"	"0152367"
	" HG GUNDAM THRONE EIN"	"0152366"
	" HG TIEREN (SPACE USE)"	"0152370"
	" HG OVER FLAG"	"0152378"
"26608"	" HG GUNDAM THRONE ZWEI"	"0153121"
"26607"	" HG GN ARMS + GUNDAM EXIA"	"0153122"
"14789"	" HG GUNDAM THRONE DREI"	"0152369"
"26520"	" HG GUNDAM NADLEE"	"0153262"
"26593"	" HG TIEREN SPACE COMMANDER"	"0154483"
	" HG AEU ENACT SAACHEZ CUSTOM"	"0154503"
"26479"	" HG GN-X "	"0154599"
	" HG ENACT (DEMO COLOR)"	"0155529"
	" HG AEU ENACT SAACHEZ CUSTOM (MORALIA CUSTOM)"	"0156775"
"26342"	" HG GN ARMS TYPE D + GUNDAM DYNAMES"	"0155747"
"18368"	" HG GN-X Ⅲ"	"0156836"
"18283"	" HG CHERUDIM GUNDAM"	"0156656"
"18193"	" HG AHEAD MASS PRODUCTION"	"0156657"
"18165"	" HG SERAVEE GUNDAM"	"0156907"
"16526"	" HG ARIOS GUNDAM"	"0156878"
"26341"	" HG BUSHIDO'S AHEAD"	"0156879"
"16422"	" HG GN ARCHER"	"0157477"
"16351"	" HG GADESSA"	"0157470"
"18124"	" HG O-RAISER"	"0156882"
"26333"	" HG GN-X III EARTH FEDERATION TYPE"	"0157721"
"26214"	" HG SERAPHIM GUNDAM"	"0157733"
"16316"	" HG OO-RAISER DESIGNER'S COLOR Ver."	"0157734"
"16187"	" HG TIEREN TAOZI FOR SERGEI"	"0158131"
"26128"	" HG GARAZZO"	"0158432"
"16068"	" HG AHEAD SMULTRON"	"0157476"
"15937"	" HG GARAZZO (HIRRING'S)"	"0159927"
"25950"	" HG GODDESS"	"0159938"
"25939"	" HG O GUNDAM"	"0160246"
"25890"	" HG MASURAO"	"0161407"
"25837"	" HG ASTRAEA TYPE F"	"0162363"
"15919"	" HG 1.5GUNDAM"	"0163277"
"17939"	" HG GUNDAM AVALANCHE EXIA DASH"	"0163278"
"25665"	" HG GUNDAM ASTRAEA"	"0164249"
"25645"	" HG OO RAISER GN CONDENSER TYPE"	"0165300"
"14583"	" HG BRAVE (STANDARD TEST TYPE)"	"0165508"
"17617"	" 1/100 GUNDAM EXIA"	"0152227"
"17606"	" 1/100 GUNDAM DYNAMES"	"0152244"
"17592"	" 1/100 GUNDAM KYRIOS"	"0152368"
"17432"	" 1/100 GUNDAM VIRTUE"	"0153123"
"17519"	" 1/100 OO GUNDAM"	"0156906"
"17422"	" 1/100 O-RAISER"	"0156888"
"17192"	" 1/100 CHERUDIM "	"0157467"
"17176"	" 1/100 ARIOS GUNDAM"	"0157735"
"17135"	" 1/100 SERAVEE GUNDAM"	"0158433"
	"GUNPLA BUILDERS"	
"15485"	" HG 1/144 BEGINNING GUNDAM"	"0165296"
"16737"	" HG 1/144 SUPER CUSTOM ZAKU F2000"	"0165393"
"14572"	" HG 1/144 BEAGGUY"	"0165394"
"15853"	" HG 1/144 FOREVER GUNDAM"	"0166792"
"15641"	" HG 1/144 BEGINNING 30 GUNDAM"	"0167073"
	"HG/HGUC"	
"25604"	" 1/144 HGUC GUNCANNON"	"0072918"
"25531"	" 1/144 HGUC QUBELEY"	"0073326"
"25516"	" 1/144 HGUC HYAKU-SHIKI"	"0074438"
"19714"	" 1/144 HGUC GUNTANK"	"0075486"
"17093"	" 1/144 HGUC GOUF"	"0075894"
"25386"	" 1/144 HGUC MSM-07S Z'GOCK(CHAR'S CUSTOM)"	"0100568"
"25298"	" 1/144 HGUC RGM-79 GM"	"0101787"
"25293"	" 1/144 HGUC RX-78-2 GUNDAM"	"0102407"
"25131"	" 1/144 HGUC RX-78GP03S GUNDAM"	"0107016"
"19702"	" 1/144 HGUC MS-06S ZAKUⅡ"	"0112814"
"24967"	" 1/144 HGUC ZAKUⅡ MASS PRODUCTION TYPE"	"0122240"
"24896"	" 1/144 HGUC ZETA GUNDAM"	"0122241"
"24797"	" 1/144 HGUC RGM-79 POWERED GM"	"0145073"
"24648"	" 1/144 HGUC ACGUY"	"0149604"
"24634"	" 1/144 HGUC NU GUNDAM"	"0153143"
"24610"	" 1/144 HGUC SAZABI"	"0154499"
"24603"	" 1/144 HGUC HI-NU GUNDAM"	"0158762"
"24556"	" 1/144 HGUC JEGAN"	"0159935"
"24299"	" 1/144 HGUC RX-0 UNICORN GUNDAM(DESTROY MODE)"	"0161011"
"24288"	" 1/144 HGUC RX-0 UNICORN GUNDAM(UNICORN MODE)"	"0161012"
"24225"	" 1/144 HGUC F2-ZAKU (ZEON TYPE)"	"0162025"
"23945"	" 1/144 HGUC F2-ZAKU (EARTH FEDERATION TYPE)"	"0162048"
"23917"	" 1/144 HGUC GM TYPE C"	"0164563"
"23907"	" 1/144 HGUC δ(DELTA) PLUS"	"0164265"
"23848"	" 1/144 HGUC SINANJU"	"0165297"
"23714"	" 1/144 HGUC NOBLE GUNDAM"	"0165660"
"23415"	" 1/144 HGUC GM CUSTOM"	"0166784"
"23356"	" 1/144 HGUC GUNPLA START SET"	"0164268"
"23341"	" 1/144 HGUC GUNPLA START SET　②"	"0169481"
"16982"	" 1/550 RX-78GP03 DENDROBIUM"	"0103908"
	"MG"	
"23337"	" MG 1/100 AMX-004 QUBELLEY"	"0104021"
"23321"	" MG 1/100 RX-77-2 GUNCANNON"	"0107017"
"23278"	" MG 1/100 AILE STRIKE GUNDAM"	"0122242"
"23184"	" MG 1/100 MSM-07 Z'GOK(CHAR'S CUSTOM)"	"0122718"
"23084"	" MG 1/100 W GUNDAM ZERO CUSTOM"	"0129454"
"23002"	" MG 1/100 BALL ver.Ka"	"0131412"
"22758"	" MG 1/100 ZETA GUNDAM VER.2.0"	"0139597"
"22730"	" MG STRIKE FREEDOM GUNDAM"	"0148083"
"19678"	" MG HI NU GUNDAM"	"0148832"
"22713"	" MG ZAKU II VER. 2.0"	"0149252"
"22593"	" MG MS-06S CHAR'S ZAKU ver. 2.0"	"0149834"
"22480"	" MG DESTINY GUNDAM"	"0151243"
"22385"	" MG MS06R ZAKU BLACK TRI-STARS Ver. 2.0"	"0152373"
"22329"	" MG SHIN MUSHA GUNDAM"	"0153804"
"22064"	" ＭＧ GUNDAM RX-78-2 ver.2.0"	"0155520"
"21890"	" MG MS-06R-2 J RIDDEN ZAKU Ver.2.0 "	"0156535"
"21737"	" ＭＧ INFINITE JUSTICE GUNDAM"	"0156649"
"21727"	" MG SHIN MATSUNAGA ZAKU Ver. 2.0"	"0156655"
"21680"	" MG SINANJU"	"0156877"
"21335"	" MG GOUF Ver.2.0"	"0158756"
"21563"	" MG G ARMOR REAL TYPE COLOR Ver."	"0158763"
"21143"	" MG GUNDAM EXIA "	"0159452"
"21090"	" MG GUNTANK"	"0160242"
"20797"	" MG 1/100 V GUNDAM Ver.Ka"	"0161539"
"20702"	" MG 1/100 GN-X"	"0161417"
"20701"	" MG 1/100 GUNDAM EXIA (TRANS-AM  MODE)"	"0161570"
"20345"	" MG 1/100 UNICORN GUNDAM SCREEN IMAGE "	"0162053"
"20277"	" MG 1/100 WING GUNDAM"	"0162352"
"19458"	" MG 1/100 MUSHA GUNDAM MK-II"	"0163119"
"20165"	" MG 1/100 RE-ZEL"	"0165298"
"19514"	" MG 1/100 OO QAN[T]"	"0165654"
"20069"	" MG SHINMUSHA GUNDAM ""SENGOKU NO JIN"""	"0158211"
"19594"	" MG 1/100 UNICORN GUNDAM SCREEN IMAGE SPECIAL"	"0162052"
	"PG"	
"20006"	" 1/60 PG STRIKE FREEDOM GUNDAM"	"0165506"
	"RG"	
"716"	" RG 1/144 RX-78-2 GUNDAM"	"0163280"
"718"	" RG MS-06S ZAKU Ⅱ"	"0165511"
"719"	" RG 1/144 AILE STRIKE GUNDAM"	"0169492"
	"UCHG"	
"19976"	" UCHG ZEON CYCLOPS TEAM SET"	"0151919"
"19861"	" UCHG 6 TYPE 61TANK SEMOVENTE SQUAD"	"0157471"
"19736"	" UCHG 1/35 CORE・FIGHTER"	"0167077"
		
"19347"	" ACTION BASE  (BLACK)"	"0148215"
"19161"	" ACTION BASE  (GRAY)"	"0148216"
"19141"	" ACTION BASE  (WHITE)"	"0148217"
"19079"	" ACTION BASE 1 CLEAR"	"0152159"
"19077"	" ACTION BASE 1 SPARKLE CLEAR GREEN"	"0156776"
"18928"	" ACTION BASE2 BLACK"	"0149845"
"18875"	" ACTION BASE2 GRAY"	"0150540"
"18725"	" ACTION BASE2 AQUA BLUE"	"0150659"
