"Codice";"Formula";"Formula"
"02010299002";"49,59";"37,19"
"99170299005";"12,4";"12,4"
"02040299026";"50";"50"
"99020299001";"16,53";"16,53"
"02010299004";"57,85";"43,39"
"99120299011";"20,66";"20,66"
"02030201003";"8";"8"
"99120201005";"24,79";"18,6"
"99110201150";"14,05";"14,05"
"99110201053";"16,53";"16,53"
"02030201005";"14";"14"
"99120201006";"16,53";"16,53"
"99120201009";"11,98";"11,98"
"99120201010";"14,46";"14,46"
"99120201011";"11,98";"11,98"
"99120201012";"66,12";"49,59"
"99110201122";"14,88";"14,88"
"99120201003";"16,53";"16,53"
"99110201209";"16,53";"12,4"
"99110201210";"14,88";"14,88"
"99110201125";"20,66";"15,5"
"99110201206";"24,79";"18,6"
"99110201207";"14,46";"14,46"
"9906020116101";"12,4";"9,3"
"9906020121201";"7,44";"7,44"
"9906020121301";"10,33";"7,76"
"9906020112701";"12,4";"9,3"
"02030202002";"15";"15"
"99120202011";"14,88";"11,16"
"99120202013";"18,6";"13,95"
"99120202002";"24,79";"18,6"
"99120202023";"66,12";"49,59"
"99120202012";"10,74";"10,74"
"99120202004";"16,53";"16,53"
"99120202005";"12,4";"12,4"
"99120202017";"18,6";"13,95"
"99120202014";"20,66";"15,5"
"99120202016";"12,4";"9,3"
"99120202019";"24,79";"18,6"
"99110202214";"18,6";"13,95"
"9906020210701";"9,5";"7,12"
"02030203001";"15";"15"
"99120203003";"24,79";"18,6"
"99120203006";"24,79";"18,6"
"99110203085";"24,79";"18,6"
"99120203004";"24,79";"18,6"
"99120203008";"66,12";"49,59"
"99110203090";"24,79";"18,6"
"9906020308701";"12,4";"9,3"
"02030204002";"12,5";"12,5"
"99120204002";"24,79";"18,6"
"99120204003";"16,53";"16,53"
"99120204004";"24,79";"18,6"
"99120204006";"45,45";"45,45"
"99110204056";"24,79";"24,79"
"99110204058";"24,79";"18,6"
"99110204055";"16,53";"16,53"
"9906020406801";"9,5";"9,5"
"9906020406901";"10,33";"7,76"
"9906020406301";"7,44";"7,44"
"9906020406401";"14,46";"10,84"
"9906020406101";"16,53";"12,4"
"9906020406201";"12,4";"9,3"
"02030205003";"16,53";"12,4"
"99120205002";"24,79";"18,6"
